t,x,y
3.720383333E0,2.434885488E-3,-8.223603858E-2
3.737066667E0,2.737039591E-3,-8.222882982E-2
3.753750000E0,2.963469420E-3,-8.223108585E-2
3.770433333E0,3.191092870E-3,-8.222748127E-2
3.787116667E0,3.300568504E-3,-8.222213693E-2
3.803800000E0,3.326064637E-3,-8.223369636E-2
3.820483333E0,3.242775050E-3,-8.223452787E-2
3.837166667E0,3.090887073E-3,-8.223513502E-2
3.853850000E0,2.898774135E-3,-8.223306516E-2
3.870533333E0,2.658585783E-3,-8.222916892E-2
3.887216667E0,2.459961733E-3,-8.223778968E-2
3.903900000E0,2.308580611E-3,-8.223074555E-2
3.920583333E0,2.203490153E-3,-8.222894823E-2
3.937266667E0,2.175784132E-3,-8.223864411E-2
3.953950000E0,2.292884242E-3,-8.223587225E-2
3.970633333E0,2.432906149E-3,-8.223439402E-2
3.987316667E0,2.614531836E-3,-8.223403447E-2
4.004000000E0,2.792654106E-3,-8.222784314E-2
4.020683333E0,2.949257717E-3,-8.222816968E-2
4.037366667E0,3.096539656E-3,-8.222971876E-2
4.054050000E0,3.158246214E-3,-8.222429111E-2
4.070733333E0,3.145751551E-3,-8.222051940E-2
4.087416667E0,3.082390833E-3,-8.223362195E-2
4.104100000E0,2.950251149E-3,-8.222849144E-2
4.120783333E0,2.798627157E-3,-8.222928791E-2
4.137466667E0,2.655573568E-3,-8.222438024E-2
4.154150000E0,2.502565915E-3,-8.222046758E-2
4.170833333E0,2.427181916E-3,-8.223899923E-2
4.187516667E0,2.368042778E-3,-8.222822860E-2
4.204200000E0,2.384588306E-3,-8.222703532E-2
4.220883333E0,2.450678548E-3,-8.223873164E-2
4.237566667E0,2.542581920E-3,-8.222350262E-2
4.254250000E0,2.660805226E-3,-8.222606774E-2
4.270933333E0,2.786470342E-3,-8.223363356E-2
4.287616667E0,2.920586856E-3,-8.223794748E-2
4.304300000E0,2.980018154E-3,-8.222400818E-2
4.320983333E0,3.018324401E-3,-8.224316837E-2
4.337666667E0,3.033636211E-3,-8.223904926E-2
4.354350000E0,2.963085558E-3,-8.222843980E-2
4.371033333E0,2.899058537E-3,-8.223785958E-2
4.387716667E0,2.780829397E-3,-8.223382437E-2
4.404400000E0,2.653071038E-3,-8.222788993E-2
4.421083333E0,2.600569398E-3,-8.223993624E-2
4.437766667E0,2.526581424E-3,-8.222487197E-2
4.454450000E0,2.491479173E-3,-8.223250940E-2
4.471133333E0,2.522340624E-3,-8.222057487E-2
4.487816667E0,2.599015166E-3,-8.223628935E-2
4.504500000E0,2.670878331E-3,-8.222643921E-2
4.521183333E0,2.776734747E-3,-8.223530452E-2
4.537866667E0,2.855153827E-3,-8.224158512E-2
4.554550000E0,2.941425790E-3,-8.222866905E-2
4.571233333E0,3.002821083E-3,-8.219443326E-2
4.587916667E0,3.015754931E-3,-8.221693002E-2
4.604600000E0,3.035000828E-3,-8.220163232E-2
4.621283333E0,2.962855119E-3,-8.213187644E-2
4.637966667E0,2.929554780E-3,-8.217766262E-2
4.654650000E0,2.821023908E-3,-8.209253967E-2
4.671333333E0,2.758250755E-3,-8.208811622E-2
4.688016667E0,2.635792935E-3,-8.200634000E-2
4.704700000E0,2.608677862E-3,-8.196306446E-2
